Study_Hours,Attendance,Previous_Score,Result
7.7,51.3,49.3,Fail
8.8,83.8,92.5,Pass
5.1,51.5,45.3,Fail
0.3,59.9,75.5,Fail
2.6,79.5,86.7,Fail
9.7,84.9,53.8,Pass
11.5,66.8,36.5,Pass
10.2,80.2,86.5,Pass
6.4,98.7,56.5,Pass
10.0,80.9,90.3,Pass
8.5,52.3,46.0,Fail
1.0,61.6,37.1,Fail
7.6,68.2,55.9,Fail
3.2,96.8,75.4,Fail
2.1,86.5,41.4,Fail
11.9,82.0,69.0,Pass
10.1,88.8,46.0,Pass
3.8,63.4,44.8,Fail
10.5,65.7,75.9,Pass
11.0,72.9,48.5,Pass
6.7,63.1,70.9,Pass
4.8,61.0,99.8,Fail
1.1,52.4,37.7,Fail
9.5,71.1,34.4,Pass
12.0,76.5,98.0,Pass
0.1,86.0,77.7,Fail
3.2,82.0,37.8,Fail
5.4,97.7,91.3,Pass
6.0,58.9,93.9,Pass
3.6,81.9,72.6,Fail
9.2,77.0,84.5,Pass
0.0,66.2,31.4,Fail
10.5,91.6,51.5,Pass
10.5,97.3,36.0,Pass
0.8,88.0,83.6,Fail
5.7,77.5,48.6,Fail
5.1,60.6,67.8,Fail
2.4,65.6,99.7,Fail
5.3,75.9,38.5,Fail
4.1,79.4,46.1,Fail
0.9,81.6,46.0,Fail
10.3,53.5,46.7,Pass
2.6,56.6,95.5,Fail
5.7,89.2,86.5,Pass
1.2,71.6,59.7,Fail
8.7,83.7,98.9,Pass
4.8,67.0,90.3,Fail
2.3,72.4,59.5,Fail
3.0,96.2,61.0,Fail
6.6,52.5,99.9,Pass
11.6,96.3,89.4,Pass
5.8,60.7,58.1,Fail
4.5,99.3,48.6,Fail
5.5,71.2,97.0,Pass
6.7,85.9,40.8,Fail
11.6,79.0,68.0,Pass
0.7,79.2,65.2,Fail
1.9,98.0,35.6,Fail
7.1,83.8,46.5,Fail
10.7,62.3,71.6,Pass
5.0,79.2,66.6,Pass
2.5,85.8,46.7,Fail
8.1,65.0,52.1,Pass
0.9,72.9,99.9,Fail
0.9,60.7,48.6,Fail
10.6,94.0,55.9,Pass
10.0,85.2,72.8,Pass
7.8,50.4,87.2,Pass
8.0,96.9,39.4,Fail
1.3,77.7,49.1,Fail
8.6,60.2,74.4,Pass
5.9,95.3,89.2,Pass
5.1,63.8,30.2,Fail
7.6,63.1,81.9,Pass
5.1,50.5,35.3,Fail
10.8,77.3,88.4,Pass
1.8,56.4,51.6,Fail
9.6,93.0,92.9,Pass
3.0,55.1,84.6,Fail
4.9,81.0,40.8,Fail
10.4,98.8,86.8,Pass
0.3,86.8,53.3,Fail
9.6,93.2,86.8,Pass
9.4,55.4,91.1,Pass
2.7,90.8,62.2,Fail
9.5,61.4,31.7,Fail
3.9,93.2,97.7,Fail
7.7,70.0,98.7,Pass
11.3,55.8,97.9,Pass
11.6,63.3,37.6,Pass
8.7,65.7,72.4,Pass
4.6,78.8,47.8,Fail
0.0,96.3,67.7,Fail
8.9,83.5,55.5,Pass
8.0,66.5,52.0,Pass
8.6,65.0,51.6,Pass
4.8,64.8,38.9,Fail
11.3,83.9,93.2,Pass
3.6,77.4,30.0,Fail
5.2,79.0,75.8,Fail
